Treatment,Pathogen,Seedling_Number,CFU_per_mL,CFU_per_mg
Rescue,DC3000,1,600000,166666666.7
Protection,DC3000,2,1000000,357142857.1
Rescue,DC3000,4,1600000,516129032.3
Protection,DC3000,8,4000000,1333333333
Competition,DC3000,9,120000,38709677.42
Rescue,DC3000,12,20000000,8695652174
Competition,DC3000,14,20000,8333333.333
Competition,DC3000,17,310000,106896551.7
Rescue,DC3000,18,50000,45454545.45
Protection,DC3000,20,200000,57142857.14
(DC) - DC Control,DC3000,21,120000,44444444.44
Rescue,DC3000,23,290000,120833333.3
Competition,DC3000,26,320000,228571428.6
Protection,DC3000,29,10000000,3571428571
Rescue,DC3000,30,300000,115384615.4
(DC) - DC Control,DC3000,35,300000,125000000
Competition,DC3000,38,1600000,421052631.6
Protection,DC3000,40,200000,68965517.24
Competition,DC3000,43,400000,307692307.7
(DC) - DC Control,DC3000,45,2000000,800000000
Protection,DC3000,47,600,240000
(13) - 13 Control,None,10,0,0
(-) - Neg Control,None,13,0,0
(13) - 13 Control,None,19,0,0
(-) - Neg Control,None,28,0,0
(13) - 13 Control,None,31,0,0
(-) - Neg Control,None,46,0,0
