Treatment,[SC],Seedling_Number,CFU_per_mL,CFU_per_mg,Drop_Plate_Colony_Count,Drop_Plate_Dilution,Plant Weight (mg),Plant Weight (g)
Rescue,0.002,1,10000000,8333333333,1,0.00001,1.2,0.012
Protection,0.002,2,10000,3846153.846,10,0.1,2.6,0.026
Rescue,0.002,3,160000,59259259.26,16,0.01,2.7,0.027
(SC) - SC Control,0.02,4,0,0,0,1,2.9,0.029
Protection,0.002,5,20000,8333333.333,2,0.01,2.4,0.024
(-) - Neg Control,Ps/MgCl2,6,0,0,0,1,2.2,0.022
Protection,0.002,7,2400,888888.8889,24,1,2.7,0.027
Rescue,0.02,8,300000,214285714.3,3,0.001,1.4,0.014
Competition,0.002,9,400,190476.1905,4,1,2.1,0.021
Competition,0.002,10,5000,1724137.931,5,0.1,2.9,0.029
Protection,0.002,11,1000,303030.303,1,0.1,3.3,0.033
Competition,0.002,12,7000,2592592.593,7,0.1,2.7,0.027
Rescue,0.002,13,2500000,892857142.9,25,0.001,2.8,0.028
(-) - Neg Control,Ps/MgCl2,14,0,0,0,1,3,0.03
(SC) - SC Control,0.02,15,0,0,0,1,3.3,0.033
Competition,0.02,16,14000000,7368421053,14,0.0001,1.9,0.019
None,Ps/MgCl2,17,0,0,0,1,2.6,0.026
Rescue,0.02,18,1200,375000,12,1,3.2,0.032
Protection,0.002,19,200000,64516129.03,2,0.001,3.1,0.031
(SC) - SC Control,0.02,20,0,0,0,1,3.8,0.038
None,Ps/MgCl2,21,0,0,0,1,3.4,0.034
Protection,0.002,22,0,0,0,1,1.6,0.016
Competition,0.02,23,5000000,2272727273,5,0.0001,2.2,0.022
Competition,0.002,24,6000000,5454545455,6,0.0001,1.1,0.011
Rescue,0.002,25,10000000,4761904762,10,0.0001,2.1,0.021
Rescue,0.02,26,500000,185185185.2,5,0.001,2.7,0.027
Protection,0.02,27,50000,15625000,5,0.01,3.2,0.032
Rescue,0.002,28,600,250000,6,1,2.4,0.024
Competition,0.02,29,3000,1428571.429,3,0.1,2.1,0.021
(-) - Neg Control,Ps/MgCl2,30,0,0,0,1,1.7,0.017
(+) - Pos Control,Ps/MgCl2,31,1200000,480000000,12,0.001,2.5,0.025
Protection,0.02,32,170000,188888888.9,17,0.01,0.9,0.009
None,Ps/MgCl2,33,0,0,0,1,2.9,0.029
None,Ps/MgCl2,34,0,0,0,1,6.6,0.066
Protection,0.02,35,15000,4545454.545,15,0.1,3.3,0.033
(SC) - SC Control,0.002,36,0,0,0,1,3.2,0.032
Competition,0.002,37,60000,35294117.65,6,0.01,1.7,0.017
(+) - Pos Control,Ps/MgCl2,38,1000000,555555555.6,1,0.0001,1.8,0.018
(-) - Neg Control,Ps/MgCl2,39,0,0,0,1,3.5,0.035
Rescue,0.002,40,9000,3214285.714,9,0.1,2.8,0.028
(+) - Pos Control,Ps/MgCl2,41,300,88235.29412,3,1,3.4,0.034
Rescue,0.02,42,2600000,1368421053,26,0.001,1.9,0.019
(+) - Pos Control,Ps/MgCl2,43,80000000,80000000000,8,0.00001,1,0.01
Competition,0.02,44,0,0,0,1,3.3,0.033
None,Ps/MgCl2,45,0,0,0,1,2.3,0.023
(SC) - SC Control,0.002,46,0,0,0,1,2.3,0.023
Competition,0.02,47,10000000,4347826087,1,0.00001,2.3,0.023
(+) - Pos Control,Ps/MgCl2,48,5000000,1724137931,5,0.0001,2.9,0.029
(-) - Neg Control,Ps/MgCl2,49,0,0,0,1,2.4,0.024
Rescue,0.02,50,4000000,2000000000,4,0.0001,2,0.02
Protection,0.02,51,500000,178571428.6,5,0.001,2.8,0.028
(+) - Pos Control,Ps/MgCl2,52,90000,23076923.08,9,0.01,3.9,0.039
Competition,0.002,53,100,50000,1,1,2,0.02
Protection,0.02,54,800000,444444444.4,8,0.001,1.8,0.018
(SC) - SC Control,0.002,55,0,0,0,1,3.2,0.032
None,Ps/MgCl2,56,0,0,0,1,2.8,0.028
(-) - Neg Control,Ps/MgCl2,57,0,0,0,1,2.5,0.025
Competition,0.02,58,2000,869565.2174,2,0.1,2.3,0.023
Rescue,0.02,59,140000,107692307.7,14,0.01,1.3,0.013
Protection,0.02,60,20000,10000000,2,0.01,2,0.02
