Treatment,Replicate,Seedling_Number,1,2,3,4,5,6,7,8,9,10
Competition,C-3,1,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Competition,C-1,2,0.5,0.5,0.5,1,0.5,1,1,1,1,1.5
Rescue,R-3,3,0,0,0,0.5,0,0.5,1,0.5,0.5,1
Rescue,R-5,4,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,1
Rescue,R-6,5,0,0,0,0.5,0.5,0.5,1,0.5,0.5,1
Competition,C-2,6,0,0,0.5,0.5,0.5,0.5,0.5,1,1.5,1.5
Rescue,R-4,7,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
(+) - Pos Control,(+)-1,8,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0
Competition,C-6,9,0.5,0,0.5,1,1,0.5,0.5,0.5,1.5,1
Competition,C-4,10,0,0,0,0.5,0.5,0,0.5,0,0,0
None,NA,11,0,0,0,1,1,1,1,0.5,0.5,0.5
Competition,C-5,12,0,0,0,0.5,0.5,0,0.5,0,0,0
(+) - Pos Control,(+)-2,13,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
None,NA,14,0.5,1,1,1.5,1.5,2,2.5,2.5,2.5,3
None,NA,16,0,0,0,0.5,0.5,0.5,NA,0.5,1,1.5
None,NA,17,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,1
None,NA,18,0,0,0.5,1,1,0.5,0.5,1,1.5,2
None,NA,19,0,0,0,0.5,0.5,0.5,1,1.5,2,2
(SC) - SC Control,(SC)-3,20,0,0,0,1,1,1.5,1.5,1.5,2,2
(SC) - SC Control,(SC)-1,21,0.5,0.5,1,1,1.5,1.5,1.5,2,2,2.5
(-) - Neg Control,(-)-1,22,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5
None,NA,23,0,0,0.5,0.5,0.5,0.5,0,0,0,0.5
(-) - Neg Control,(-)-2,24,0,0.5,0.5,1,1,0.5,0.5,0.5,1.5,1
None,NA,25,0,0,0,0.5,0.5,0.5,1,1,1,1.5
(SC) - SC Control,(SC)-2,26,0,0,0,0.5,0.5,0,0.5,0.5,1,1.5
None,NA,27,0,0,0.5,1,1,0.5,0.5,0.5,0.5,1
None,NA,28,1,1,1,2,2,2.5,2.5,2.5,3,3
Protection,P-6,29,0,0.5,0.5,1,1,1,1.5,2,2,2
Protection,P-5,30,0,0,0.5,0.5,1,1,2,2,2,1.5
Protection,P-1,31,0,0,0,0,0.5,0,0,0,0,0.5
Rescue,R-1,32,0,0,0,0,0,0,1,1,1,1
Protection,P-4,33,0.5,0.5,0.5,1,1,1,1,1.5,2,2
Rescue,R-2,34,0,0,0,0.5,0.5,0.5,1,1,1.5,1
Protection,P-3,35,0.5,0.5,1,1,1,1,1,1,1,1
Protection,P-2,36,0,0,0,0,0,0.5,0.5,0.5,1,1.5
(+) - Pos Control,(+)-3,37,0,0,0,0,0,1,1,1,1.5,2
(-) - Neg Control,(-)-3,38,0,0,0.5,1,1,1,1.5,1,1,1
None,NA,39,0,0.5,1,1,1,2,2,2,2,2
None,NA,40,0,0.5,0,0.5,1,1,1.5,1.5,2,2
