Treatment,Seedling_Number,CFU_per_mL,CFU_per_mg,Drop_Plate_Colony_Count,Drop_Plate_Dilution,Plant Weight (mg)
Competition,1,1000000,263157894.7,1,0.0001,3.8
Rescue,3,40000,13793103.45,4,0.01,2.9
NA,4,0,0,0,1,2.9
Protection,5,30000000,9090909091,3,0.00001,3.3
(-) - Neg Control,6,0,0,0,1,3.4
NA,8,0,0,0,1,2.2
(+) - Pos Control,10,2000000,869565217.4,2,0.0001,2.3
(-) - Neg Control,11,0,0,0,1,2.7
NA,12,0,0,0,1,3.1
Protection,13,600000,176470588.2,6,0.001,3.4
Competition,14,28000,10769230.77,28,0.1,2.6
NA,17,0,0,0,1,3
(SC) - SC Control,18,0,0,0,1,2.3
Competition,19,700,291666.6667,7,1,2.4
Rescue,20,50000,22727272.73,5,0.01,2.2
Competition,26,1200,705882.3529,12,1,1.7
Protection,27,100,35714.28571,1,1,2.8
(+) - Pos Control,28,10000,4166666.667,1,0.01,2.4
NA,29,0,0,0,1,2.4
Rescue,31,100000,37037037.04,1,0.001,2.7
Protection,34,40000,12500000,4,0.01,3.2
NA,37,0,0,0,1,2.9
(SC) - SC Control,38,0,0,0,1,2.4
Rescue,41,10000000,3225806452,"100,000",1,3.1
Protection,42,600,206896.5517,6,1,2.9
Competition,44,40000,13793103.45,4,0.01,2.9
Rescue,47,2000,689655.1724,2,0.1,2.9
(-) - Neg Control,48,0,0,0,1,3.1
(SC) - SC Control,49,0,0,0,1,2.8
Competition,50,0,0,0,1,2.5
Protection,53,120000,100000000,12,0.01,1.2
Rescue,54,1000000,322580645.2,1,0.0001,3.1
(+) - Pos Control,56,30000,10000000,3,0.01,3
NA,57,0,0,0,1,3.3
