Treatment,Replicate,Seedling_Number,1,2,3,4,5,6,7,8,9,10
Rescue,R-2,41,0,0.5,0.5,0.5,0.5,0.5,1,1,1,1
Competition,C-3,42,0,0,0,0,0,0.5,0.5,0.5,0.5,1
(SC) - SC Control,(SC)-3,43,0,0,0,0,0,0,0,0.5,0.5,0.5
Protection,P-5,44,0,0,0,0.5,0.5,0.5,1,1.5,1.5,2
None,NA,45,0.5,0.5,1,1,1,1.5,1.5,1.5,1.5,1.5
None,NA,46,0.5,1.5,1.5,2,2.5,2.5,2.5,2.5,2.5,2.5
Rescue,R-4,47,0,0.5,0,0.5,0,1,1,1,1.5,1.5
(+) - Pos Control,(+)-3,48,0,0,0,0.5,0.5,0.5,0.5,0.5,1,1
Competition,C-6,49,0,0,0,0,0,0,0,1,1,1
Rescue,R-5,50,0,0,1,1.5,1.5,1.5,2,2,2,2
Protection,P-6,51,0,0,0,0.5,0,0,0,1,1.5,2
(-) - Neg Control,(-)-2,52,0.5,0.5,1,0.5,1,1,1,1,1,1.5
(+) - Pos Control,(+)-1,53,0,0,0,0.5,0.5,2,2,2.5,2.5,2.5
Protection,P-2,54,0.5,0.5,0.5,1,1,1.5,1.5,1.5,1.5,2
Competition,C-4,55,0,0,0,0,0,0,0.5,1,1,1
None,NA,56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1.5
Competition,C-2,57,0,0,0,0,0,0,0.5,1,1,1
Protection,P-3,58,0,0,0.5,1,1,0.5,0.5,1,1,1
(-) - Neg Control,(-)-3,59,0,0,0,0,0,0,0,0,0,0
Competition,C-5,60,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5
None,NA,61,0,0,0.5,0.5,1,1.5,1,1.5,1.5,1
(SC) - SC Control,(SC)-1,62,0,0,0,0,0,0,0,0,0,0.5
Protection,P-1,63,0,0,0.5,0.5,1,2,2,2,2,2
(+) - Pos Control,(+)-2,64,0,0,0,0,0,1,1,1.5,1.5,1
None,NA,65,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
(SC) - SC Control,(SC)-2,66,0,0.5,0.5,0.5,0.5,0,1,1,1.5,1.5
None,NA,67,0.5,0.5,0.5,0.5,0.5,0.5,1,1.5,1.5,1.5
Competition,C-1,68,0,0,0,0,0,0.5,1,1.5,1.5,1.5
Rescue,R-3,69,0,0,0,0.5,0.5,2,2,2.5,2,2
None,NA,70,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Protection,P-4,71,0,0,0,0,0,0,0.5,1,1,1
None,NA,72,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5
Rescue,R-1,73,0,0.5,0,0,0,0.5,1,1.5,1.5,1.5
None,NA,74,0,0,0.5,0,0.5,0,0,0.5,0.5,0.5
(-) - Neg Control,(-)-1,75,0,0,0,0,0,0,0,0.5,0.5,0.5
